FID,CID,Type,POINT_X,POINT_Y
132, 0, 1, 12306081.4687, 3382778.11656
133, 0, 1, 12306406.8377, 3382966.8039
134, 0, 1, 12306345.883, 3383676.12168
135, 0, 1, 12308213.2207, 3383913.75129
136, 0, 1, 12307908.5574, 3383824.3325
137, 0, 1, 12306143.4116, 3384491.88854
138, 0, 1, 12307096.0014, 3383616.6687
139, 0, 1, 12307819.014, 3383821.30837
140, 0, 1, 12306813.0601, 3383040.23815
141, 0, 1, 12307033.0417, 3384018.96031
142, 0, 1, 12307936.8285, 3383024.54659
143, 0, 1, 12307216.2111, 3384607.6999
144, 0, 1, 12307082.414, 3384701.23167
145, 0, 1, 12306934.6522, 3383625.2334
146, 0, 1, 12308038.2655, 3382945.94549
147, 0, 1, 12307019.2861, 3384832.53455
148, 0, 1, 12307011.278, 3383954.80871
149, 0, 1, 12306942.6485, 3383648.75392
150, 0, 1, 12308049.7974, 3382940.09298
151, 0, 1, 12306384.91, 3383692.13811
152, 0, 1, 12307897.3853, 3383111.61384
153, 0, 1, 12306404.3426, 3383474.85711
154, 0, 1, 12306474.8315, 3383284.69034
155, 0, 1, 12306208.6758, 3382854.58038
156, 0, 1, 12306070.4762, 3382804.90615
157, 0, 1, 12307892.6982, 3383735.07965
158, 0, 1, 12306807.958, 3382974.76534
159, 0, 1, 12308243.6992, 3383931.56218
160, 0, 1, 12307189.3636, 3383698.93273
161, 0, 1, 12306971.6465, 3383258.57187
162, 0, 1, 12306946.3013, 3384740.37117
163, 0, 1, 12306205.4994, 3384239.31058
164, 0, 1, 12306806.2737, 3383027.59057
165, 0, 1, 12306250.79, 3382872.83056
166, 0, 1, 12307518.1077, 3383927.5164
167, 0, 1, 12307184.3797, 3383609.19324
168, 0, 1, 12307864.7905, 3383382.38291
169, 0, 1, 12307175.3824, 3383821.29957
170, 0, 1, 12306102.4746, 3382858.25211
171, 0, 1, 12307843.4619, 3383619.68583
172, 0, 1, 12306597.468, 3383772.05794
173, 0, 1, 12306306.0696, 3383067.47592
174, 0, 1, 12307045.3383, 3383722.35197
175, 0, 1, 12308230.8353, 3382852.07775
176, 0, 1, 12307756.9373, 3383544.58758
177, 0, 1, 12306346.3662, 3383272.59464
178, 0, 1, 12306418.2586, 3383700.71616
179, 0, 1, 12306941.8354, 3383649.63861
180, 0, 1, 12307198.7487, 3384553.03599
181, 0, 1, 12306140.7749, 3384486.16754
182, 0, 1, 12307162.0563, 3383579.3446
183, 0, 1, 12306925.3278, 3383880.18694
184, 0, 1, 12307167.5393, 3383862.25211
185, 0, 1, 12307859.7029, 3383388.30473
186, 0, 1, 12306157.8751, 3383514.61666
